"","thresholds","TPR","FPR","NB","time","model"
"1",0.0134079406302775,0.118884897810413,0.881115102189587,0.106910405550515,12,"model-12"
"2",0.0153114467491494,0.11892148949801,0.839629538018535,0.105865642633597,12,"model-12"
"3",0.0178310072973756,0.118577901916802,0.834051843816392,0.103435920624401,12,"model-12"
"4",0.0186546563001101,0.118597535863426,0.81348187897461,0.103133841093728,12,"model-12"
"5",0.0186970185339245,0.118614546536387,0.796397644337873,0.103440577030748,12,"model-12"
"6",0.0200094381689708,0.118549937120421,0.778698408403787,0.102650480266347,12,"model-12"
"7",0.0200894574311008,0.118550272821871,0.778349762009198,0.102593077005405,12,"model-12"
"8",0.0203559427373429,0.118558070523255,0.770330818365634,0.102551430242828,12,"model-12"
"9",0.0212949537988837,0.118518625085265,0.764448982020273,0.101885518086468,12,"model-12"
"10",0.0213432463307927,0.118524255473139,0.758522069849049,0.101981863747507,12,"model-12"
"11",0.0237855349632359,0.11852492315984,0.757824780776071,0.100060468406574,12,"model-12"
"12",0.0247866625900216,0.118526261905473,0.756430199257885,0.09930033522598,12,"model-12"
"13",0.0259859995467121,0.118537136364217,0.745273382618716,0.0986537735235457,12,"model-12"
"14",0.0266866498366282,0.118547604340698,0.734813593848087,0.098400225214616,12,"model-12"
"15",0.0273115959010932,0.1185493754516,0.733070269271493,0.0979658886154468,12,"model-12"
"16",0.0278656091818414,0.118549730594734,0.732721603435221,0.0975467355013964,12,"model-12"
"17",0.0279135084358592,0.118550797873239,0.731675604077301,0.0975406991588111,12,"model-12"
"18",0.0279765946902379,0.118553299027886,0.729234928070686,0.0975645965901121,12,"model-12"
"19",0.0282021614764704,0.118559073580309,0.72365618242805,0.097558133157053,12,"model-12"
"20",0.0282822722900272,0.118569749037043,0.713544496870306,0.0978017222983568,12,"model-12"
"21",0.0292536153083066,0.118573870605636,0.709708957677193,0.0971866646822867,12,"model-12"
"22",0.0295659543555999,0.118575938028949,0.702392365697975,0.0971763378014463,12,"model-12"
"23",0.0296481631228201,0.118581302062122,0.697510651960867,0.0972695378098962,12,"model-12"
"24",0.0299303835703971,0.118583234308425,0.695767166248872,0.0971161377116226,12,"model-12"
"25",0.0310419161463529,0.118585175344575,0.694023671747031,0.0963511644198986,12,"model-12"
"26",0.0317883130987474,0.118585954233652,0.693326271471677,0.0958226754018646,12,"model-12"
"27",0.0321714538221084,0.118586344210401,0.69297757080179,0.0955511733561728,12,"model-12"
"28",0.0330246225062925,0.118241478855436,0.686704532987128,0.094788805185462,12,"model-12"
"29",0.0333683365059246,0.118243062275808,0.685309706794202,0.0945860212634893,12,"model-12"
"30",0.033723840121347,0.118249857382113,0.679381629904547,0.0945388745186237,12,"model-12"
"31",0.035544481854483,0.118250663860422,0.678684202039962,0.0932381279264481,12,"model-12"
"32",0.0362362473368683,0.118251471838302,0.677986772675805,0.0927600624364455,12,"model-12"
"33",0.0368848554630413,0.118251876390891,0.677638057430077,0.0923000658038181,12,"model-12"
"34",0.0370310740187602,0.118252686625993,0.676940625808699,0.092220861772367,12,"model-12"
"35",0.037412182815887,0.118254311630661,0.675545758031478,0.0919983784588655,12,"model-12"
"36",0.0378935102095579,0.118211077964521,0.672105884766235,0.0917395267624909,12,"model-12"
"37",0.0379787076670954,0.118211467385402,0.671757184652215,0.0916918155414086,12,"model-12"
"38",0.0388000993374042,0.118211857172078,0.671408484172401,0.0911095698498394,12,"model-12"
"39",0.0388109794942676,0.118216957922442,0.666875344411239,0.0912898033617718,12,"model-12"
"40",0.0392100307948549,0.118225331310963,0.659552446466815,0.0913088640645566,12,"model-12"
"41",0.0392122897586444,0.117887897016764,0.649788870660004,0.0913682931472871,12,"model-12"
"42",0.0405721328741433,0.117854847855273,0.648776987742079,0.0904194699031911,12,"model-12"
"43",0.0406632245731715,0.117859648611216,0.644592458668477,0.0905374312456337,12,"model-12"
"44",0.0407769800586252,0.117864098858372,0.640756590796801,0.0906252626522196,12,"model-12"
"45",0.0410027439095619,0.117864505804354,0.64040787315768,0.0904833221210972,12,"model-12"
"46",0.0410947815554947,0.1178665465291,0.638664278967243,0.0904959904755711,12,"model-12"
"47",0.0411595028514619,0.117825407251989,0.634874000619833,0.0905725968872398,12,"model-12"
"48",0.0415051006555492,0.117826190857386,0.634176595628159,0.0903648413468747,12,"model-12"
"49",0.0415982412947037,0.117827369176803,0.633130485229328,0.0903471246380392,12,"model-12"
"50",0.0419312438372713,0.117830528552224,0.6303408403088,0.0902427637852771,12,"model-12"
"51",0.0420970265068904,0.117830925242762,0.629992132925124,0.0901446185365928,12,"model-12"
"52",0.0426490173908523,0.117835716507765,0.625807613342462,0.0899566206802033,12,"model-12"
"53",0.0430368605991961,0.117490757358716,0.622669465560128,0.0894878616510855,12,"model-12"
"54",0.0431333606921374,0.117491974813495,0.621623316025933,0.0894706167649133,12,"model-12"
"55",0.0434829898882717,0.11749360382128,0.620228444245596,0.0892981960193846,12,"model-12"
"56",0.0436547668075518,0.117494012101429,0.619879725272308,0.0891980537839935,12,"model-12"
"57",0.0442267080680402,0.117046983997407,0.603607840105693,0.0891161054540516,12,"model-12"
"58",0.0446926284086591,0.117055900993217,0.595239466474564,0.0892085116812292,12,"model-12"
"59",0.0462405635624523,0.117060825162375,0.590706503294608,0.0884219456201996,12,"model-12"
"60",0.0463022034575413,0.117067367133902,0.584778679539731,0.0886762546705575,12,"model-12"
"61",0.0463440717905715,0.11671861354091,0.584779122439585,0.0883005595758364,12,"model-12"
"62",0.04672985794677,0.116720559302324,0.58303562321248,0.0881398132485945,12,"model-12"
"63",0.0477847861759321,0.116720949699782,0.582686922121883,0.087480112568765,12,"model-12"
"64",0.0488140044494041,0.1167217317452,0.581989518690188,0.0868545563581145,12,"model-12"
